source	target	combined_score	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining
A0A1D6HNF9	B4FFP2_MAIZE	0.981	0.311	0.07	0.9	0.742
B4FFP2_MAIZE	Pco118382	0.981	0.311	0.07	0.9	0.742
A0A1D6MNB9	Pco118382	0.978	0.059	0.0	0.95	0.577
A0A1D6HNF9	A0A1D6QM74	0.965	0.117	0.0	0.92	0.549
Pco104294	A0A1D6HNF9	0.959	0.503	0.136	0.837	0.484
Pco104294	Pco118382	0.959	0.503	0.136	0.837	0.488
A0A1D6QM74	Pco118382	0.956	0.117	0.0	0.92	0.425
B6U3W8_MAIZE	A0A1D6MP94	0.956	0.491	0.0	0.573	0.732
A0A1D6H377	A0A1D6MP94	0.955	0.491	0.0	0.573	0.732
A0A1D6J506	A0A1D6MP94	0.955	0.491	0.0	0.573	0.732
A0A1D6MU53	A0A1D6MP94	0.955	0.491	0.0	0.573	0.732
A0A1D6MRL4	A0A1D6GZS8	0.951	0.05	0.0	0.909	0.363
Pco118382	B4FA80_MAIZE	0.948	0.055	0.0	0.91	0.41
A0A1D6HNF9	B4FA80_MAIZE	0.947	0.055	0.0	0.91	0.391
A0A1D6GZS8	A0A1D6HNF9	0.946	0.333	0.0	0.905	0.221
Pco118382	A0A1D6GZS8	0.946	0.333	0.0	0.905	0.221
A0A1D6H377	A0A1D6QM74	0.94	0.121	0.0	0.928	0.089
A0A1D6QM74	A0A1D6J506	0.94	0.121	0.0	0.928	0.089
A0A1D6QM74	A0A1D6MU53	0.94	0.121	0.0	0.928	0.089
B6U3W8_MAIZE	A0A1D6QM74	0.94	0.121	0.0	0.928	0.089
Pco080711	A0A1D6GZS8	0.929	0.402	0.072	0.862	0.152
Pco118382	A0A1D6HNF9	0.923	0.0	0.0	0.92	0.0
A0A1D6MRA8	A0A1D6HNF9	0.915	0.0	0.0	0.9	0.161
Pco118382	A0A1D6MRA8	0.915	0.0	0.0	0.9	0.161
A0A1D6HNF9	A0A1D6DW09	0.912	0.081	0.0	0.908	0.053
Pco118382	A0A1D6DW09	0.912	0.081	0.0	0.908	0.053
A0A1D6H377	B6U3W8_MAIZE	0.902	0.0	0.054	0.9	0.0
A0A1D6J506	B6U3W8_MAIZE	0.902	0.0	0.054	0.9	0.0
B6U3W8_MAIZE	A0A1D6MU53	0.902	0.0	0.054	0.9	0.0
A0A1D6GZS8	A0A1D6DW09	0.9	0.0	0.0	0.9	0.0
A0A1D6H377	A0A1D6J506	0.9	0.0	0.0	0.9	0.0
A0A1D6H377	A0A1D6MU53	0.9	0.0	0.0	0.9	0.0
A0A1D6MU53	A0A1D6J506	0.9	0.0	0.0	0.9	0.0
